#{"t_start": 1754520773.8038156, "env_id": "None"}
r,l,t
886.692725,315,4.828017
595.545917,269,6.166885
485.369455,800,10.508734
532.451687,1010,16.123378
983.473819,288,17.571146
722.211919,835,21.860219
2189.68954,600,25.300481
556.704028,200,26.292042
596.665537,238,27.483747
2542.295566,940,32.238216
810.367683,516,34.968602
615.589388,235,36.299659
696.34465,277,37.972518
2708.190852,536,41.361897
538.775318,375,43.606268
871.09772,556,46.439975
910.283714,304,48.16027
730.867358,245,49.322344
771.305656,352,50.971605
1022.738308,329,52.583729
530.686927,424,54.399643
538.702555,300,55.902946
-276.102373,523,58.276721
390.604968,424,60.258783
353.478554,438,62.186954
290.657697,273,63.379382
440.304833,251,64.550254
858.25187,406,66.348826
260.103502,239,67.673106
292.861997,352,69.69777
332.705493,263,71.210325
509.857153,198,72.300015
729.342763,433,74.992606
664.721237,502,78.049876
211.102262,263,79.411804
446.084342,212,80.468787
386.876741,237,81.636323
612.462524,218,82.737246
327.068807,237,83.95863
417.236802,330,85.615322
610.798041,232,86.808882
275.018368,232,87.870974
567.205253,234,89.332037
791.158723,255,90.541623
378.705256,270,91.729209
290.464788,443,93.697983
579.211461,258,94.841228
1033.54337,370,96.449221
1664.313339,527,98.837166
1051.602426,265,100.067983
1085.579107,373,101.863414
315.039402,224,103.280575
838.577078,220,104.647445
636.787419,284,106.348498
458.602663,382,108.678931
879.332393,297,110.738642
775.020719,224,111.839181
555.73269,265,112.923554
591.760479,185,113.707405
2159.142968,475,115.655883
875.585801,348,117.11573
734.15531,449,119.152959
1097.320244,401,120.892797
753.800677,247,122.003547
639.563686,206,122.897841
706.680551,208,123.88467
707.90988,236,124.916191
470.455667,203,125.796248
3409.491918,826,129.554038
1775.212428,927,133.730858
1214.022929,317,135.613168
1225.134765,1826,145.725114
605.146801,287,147.107826
832.941871,265,148.33341
730.752468,357,150.207029
3887.565818,785,153.343139
387.831955,324,154.770506
585.589497,201,155.617344
1243.658166,836,159.19957
545.148438,245,160.249695
855.41687,267,161.329934
574.471506,205,162.18835
1299.174018,475,164.154525
1566.69712,387,166.270785
773.361412,260,168.076861
1218.269143,400,169.967122
1466.975009,910,174.49933
1403.413465,514,176.731701
589.983419,434,178.624645
2450.444766,736,181.761261
625.817964,240,182.701152
1842.014909,974,186.98151
1515.437632,323,188.253323
7059.403612,1334,193.230927
23810.856466,2750,207.508844
1798.762316,2739,218.508313
1147.974502,478,220.314854
1916.355564,1139,225.016526
982.321724,248,226.238583
767.833854,397,228.332225
1436.965143,893,233.355812
908.359662,1036,237.745065
15031.130913,2413,247.565235
1024.648509,249,248.551754
15402.018786,2876,261.972796
1400.083096,338,263.431962
1540.588261,1612,270.124056
1824.917553,877,273.475283
6740.416265,2750,286.386608
15895.223416,3600,304.207427
1588.478911,564,306.813731
466.930057,461,308.881732
8438.767516,2957,324.591981
2634.600749,1437,331.342216
2406.138795,2159,341.714892
3211.021076,815,344.724455
836.86181,305,345.983656
5500.427357,1067,350.43974
6374.5267,1324,355.74758
2811.668775,800,358.709372
2566.531964,1994,367.358641
3475.358393,866,372.389205
11053.984728,2720,382.625577
485.607435,298,383.766381
2976.505022,760,386.820419
487.602221,417,388.657677
517.942869,331,389.905841
538.546339,412,391.408371
1667.371184,372,392.873687
2602.090645,1104,398.290478
668.8952,308,399.439852
1211.160279,585,401.528854
1122.867177,602,403.924021
2328.511832,805,407.44748
2397.236565,770,410.293354
6500.465069,1955,417.876744
2578.730762,1129,422.046524
1620.260843,512,424.174002
32997.424727,3600,438.838988
1968.085291,665,441.365176
1042.663404,898,444.529186
918.208122,451,446.047836
6198.632899,1392,451.899148
2395.834176,1155,457.489568
4042.455076,1015,461.661544
1547.949418,657,464.243773
852.170089,372,465.719552
1697.653461,1079,469.851874
1164.775136,646,472.55924
2704.54077,851,476.044219
5451.42207,1436,484.049834
1483.424542,1749,491.711721
5692.4204,1396,497.193197
10453.689213,3600,511.163251
663.064303,514,513.288976
3326.193955,1572,518.983601
6663.395832,1723,525.880402
3363.77868,871,529.160215
8926.333011,1569,534.972077
1008.378734,228,536.276184
2875.44209,864,540.605971
3698.616161,891,544.288982
8933.569311,1675,550.876498
2529.074254,520,552.889812
4323.449336,964,556.78009
4005.413644,1197,561.175383
1101.108879,268,562.224818
14812.913205,1997,570.910264
708.343173,464,572.945997
8022.736933,1441,578.496006
6780.940093,1656,586.043212
1365.137858,491,588.436334
2759.393973,1326,594.616289
10901.286515,3006,608.214809
20770.768685,3534,624.752199
13802.753922,1878,633.329494
4418.38217,1031,638.013561
2941.417739,792,641.64006
4444.048219,2045,650.809951
25293.097986,3600,666.923078
859.73494,553,669.380146
2753.080025,3600,685.479208
1905.022466,966,689.748658
3920.644894,1062,694.388193
9442.093766,1846,702.750847
2307.640778,816,706.255219
1207.227888,374,707.890501
1222.203219,399,709.688648
1497.934374,418,711.492386
8708.047503,1344,717.374919
896.128705,425,719.471003
8316.754672,1685,726.885497
1236.517749,425,728.715965
1277.970784,283,729.978231
2895.890788,711,733.120571
4012.62612,3600,749.325919
6322.489743,3600,765.292463
2031.276992,600,767.904585
30383.676649,3254,782.515067
723.716531,414,784.319181
7942.456308,2363,795.777616
3707.243583,1533,802.636859
7529.590825,1404,808.720343
760.742902,295,810.037293
1073.884338,344,811.813877
18050.305166,3065,825.162639
3216.858394,1073,829.994294
8314.286538,1713,837.42077
12367.638916,3600,853.319727
2016.561398,531,855.661672
18847.68617,2351,866.082864
3545.861766,1657,873.301418
14260.047505,2509,884.51344
3931.985797,2478,895.300313
468.45518,280,896.569997
27651.015384,2533,907.897123
1551.328778,705,910.938497
1604.304292,569,913.342858
8064.487673,3359,928.257726
2646.856338,876,932.030872
33113.488756,3600,947.964734
6005.247404,2875,960.732079
1251.419747,1915,968.985088
3074.254839,3482,984.397797
2487.732146,1934,993.110604
782.379912,288,994.437916
1394.280713,716,997.515629
5411.637827,3544,1013.266463
14250.818208,3600,1029.272061
5154.105928,3600,1044.885279
4342.618077,2163,1054.663653
3215.929464,1995,1063.395244
1294.824788,876,1067.473804
3333.818777,819,1071.016781
1539.445344,1845,1079.013909
11695.914538,3600,1094.9012
1719.948382,1088,1099.724391
4111.206616,1153,1105.120232
2240.837872,733,1108.317286
2277.373457,649,1111.107349
5282.196757,1003,1115.524956
15290.529617,2974,1128.780005
2596.067306,890,1132.635207
3692.054602,3372,1147.490973
1231.013252,392,1149.231895
2502.6458,1689,1156.80968
13700.671626,2329,1166.982298
31190.708315,2711,1179.076216
3614.336977,1420,1185.296148
9407.94308,2570,1196.780386
4908.931664,2198,1206.566478
1765.459233,908,1210.871062
6143.771245,3600,1226.48922
836.239108,321,1228.159281
16229.631672,3600,1243.829064
4401.837744,1215,1249.410053
18783.293854,2835,1261.834384
2527.486955,579,1264.713969
15688.327216,3600,1280.302934
1670.141435,616,1283.193283
789.621909,504,1285.49911
3326.534152,2757,1297.443587
2094.738356,569,1299.972042
1181.429218,446,1302.235879
