#{"t_start": 1754520773.58317, "env_id": "None"}
r,l,t
646.847363,345,5.195872
694.214897,248,6.441025
1075.282326,251,7.777401
640.140719,249,9.13678
1415.847941,330,10.963848
1011.257299,305,12.764516
446.731214,379,14.872751
923.488902,227,16.004309
1761.597893,396,18.060778
699.953033,249,19.280842
825.967597,610,22.454314
423.777533,465,24.761579
1001.969789,309,26.748322
631.910771,272,28.119956
410.045949,430,30.279511
1240.734401,282,31.682512
771.909406,279,33.168055
841.521291,574,36.23602
1269.921527,412,38.768597
1117.559324,475,41.740272
725.248547,279,43.415151
782.977696,402,45.6058
866.213476,212,46.608439
756.489034,527,49.401535
-100.401123,393,51.241003
801.002996,275,52.583752
874.341662,479,54.692648
184.991974,270,56.018777
253.612301,490,58.270509
738.182707,382,60.001059
1028.263859,380,61.723847
790.578481,438,63.681422
897.57077,389,65.40988
126.309118,329,67.095584
359.820523,224,68.260475
265.791991,278,69.809247
296.500561,267,71.346151
282.665898,219,72.584045
453.530243,250,74.085339
862.256342,267,75.794078
648.773136,239,77.354706
967.185872,336,79.126019
492.226245,256,80.394552
455.26901,332,82.099663
850.360203,296,83.571029
255.393237,220,84.682857
413.364071,313,86.231542
464.177128,333,87.86706
436.223709,394,90.033549
242.153658,341,91.655856
661.044396,366,93.271299
2504.812393,667,96.16216
475.196179,210,97.187629
336.279823,251,98.270859
990.725945,282,99.520012
460.772452,273,100.772192
551.886356,323,102.531627
676.049883,277,104.269945
318.101029,416,106.755233
841.606194,260,108.33737
90.846127,409,111.09368
634.848173,182,111.916032
639.552743,216,112.871857
574.457307,200,113.714226
583.699769,209,114.596264
594.314205,321,115.893818
1308.095187,407,117.580528
732.045283,233,118.634985
793.904101,267,119.839538
436.058296,267,120.988728
618.5486,216,121.962661
942.409178,397,123.767822
704.196276,281,125.009027
939.31186,260,126.177552
634.894572,249,127.22203
637.747815,281,128.624087
1053.361346,303,129.956649
5308.399038,1092,135.199782
349.219418,212,136.417376
2958.969875,788,141.152378
986.534328,709,144.851504
849.402438,329,146.408188
1636.623372,465,148.610672
1698.156805,554,151.243782
-892.245949,852,154.776135
548.064984,195,155.57991
544.194663,214,156.526525
611.993811,211,157.454954
500.272371,301,158.715107
560.940494,199,159.578552
1466.507957,376,161.143854
597.831082,288,162.309038
751.026701,248,163.356109
482.151242,332,164.728604
4232.984127,1947,175.049864
12952.239116,2260,184.652543
1039.440217,474,186.812188
708.777401,268,187.933326
22914.646642,3600,204.874937
1080.114629,334,206.566084
1311.024027,603,209.064978
574.700889,687,211.823913
3740.605139,1486,217.748985
1643.135423,1810,224.928044
1679.619369,1946,235.048338
1921.857715,985,239.227324
6096.353874,1448,245.145907
1683.011135,490,247.103685
3276.235798,2066,255.696957
953.311489,273,257.221531
33651.24916,3600,272.95214
1252.196339,367,274.331206
995.80069,260,275.28652
898.937762,241,276.535044
1842.791847,946,280.473841
6890.089148,2317,292.964696
