#{"t_start": 1754520773.8048756, "env_id": "None"}
r,l,t
1486.929183,315,4.826957
631.459433,348,6.575189
1191.800715,540,9.495683
223.790589,533,12.606461
40.362412,491,15.286291
1007.3418,767,19.153207
1256.053185,1431,26.819748
599.523403,336,28.524062
778.413029,301,30.020461
782.7763,342,31.761777
709.402677,391,33.805558
481.91645,252,35.159398
780.518648,457,37.847963
965.759776,449,40.690175
1258.960953,276,42.370338
1207.740536,403,44.794632
988.161337,236,45.86685
736.013705,254,47.058861
1082.812586,364,49.049632
1019.432895,436,51.126838
645.56124,216,52.192528
704.855318,220,53.161874
836.195737,361,54.810744
1767.318844,387,56.668687
592.09268,315,58.10006
813.568936,281,59.368907
162.944507,515,61.691032
1231.166646,486,63.855263
536.097605,212,64.834319
160.893918,301,66.124948
553.177568,349,68.104824
541.071767,222,69.312702
178.224728,414,71.661051
339.468878,215,72.922741
455.342109,268,74.589293
759.541662,217,75.969026
572.435198,431,78.522355
565.821086,307,80.019634
927.744001,426,82.225034
757.741917,233,83.370538
486.163051,319,84.97227
498.906438,245,86.176897
423.962491,361,87.965168
516.871178,210,89.281465
527.532606,190,90.155104
752.032902,279,91.465048
913.659423,238,92.503312
591.490701,207,93.410611
1162.457268,293,94.710493
743.100887,216,95.625512
1834.265837,677,98.673992
825.403779,234,99.737202
-434.285,664,103.330303
465.257472,320,105.259063
-198.545528,405,107.71987
710.895843,206,108.992278
1838.409024,466,111.805608
6513.29841,1585,118.491964
528.089152,322,119.93884
935.43639,299,121.220355
1798.919661,583,123.88361
653.053257,840,127.517588
520.017845,176,128.479335
800.760322,347,130.016016
642.118216,214,130.844542
1309.355519,337,132.255481
219.144266,412,134.512527
3695.516813,833,139.466086
600.800202,194,140.68599
593.97916,178,141.746254
1143.558303,803,145.705507
586.966404,214,146.740705
897.319779,270,148.019605
596.338248,205,148.93593
1021.017185,349,150.700333
1152.388135,678,153.441233
14401.808486,2657,164.735816
1032.815435,308,166.561547
535.023062,189,167.934879
737.659092,425,169.966062
490.14773,369,171.84917
866.497414,289,173.384205
463.441504,304,174.722959
486.295228,547,177.131896
530.974825,198,177.95832
828.697511,306,179.293088
4787.588815,950,183.260323
840.331492,264,184.344624
7.697005,1247,189.505472
1212.21537,428,191.091388
1781.872458,477,192.869839
525.604829,202,193.683033
276.552957,1099,199.706852
5932.879016,1329,206.684341
1521.809774,330,208.05749
1236.005052,284,209.23715
909.440796,224,210.161805
3393.689235,916,213.859524
5258.467545,2210,222.594189
1891.545817,612,225.089531
1322.459702,305,226.608917
1303.739232,774,230.836772
730.029176,1486,237.782004
3860.101993,2103,246.348538
1151.021888,272,247.431592
1074.685134,320,248.716949
1106.705061,288,249.828591
1282.694801,387,251.303907
1557.935636,429,252.994109
678.592812,271,254.236897
1703.068771,480,256.91676
3955.018695,1888,265.735432
1188.103014,318,267.080755
944.706861,654,269.818753
1222.299699,372,271.212937
1591.170621,765,274.168421
821.870567,218,274.918812
900.671754,240,276.198207
1694.222957,518,278.200777
1064.440663,602,280.940109
17123.836482,3600,299.798636
637.033382,295,301.105612
18478.658988,3557,319.309134
876.732255,369,321.077867
1994.767567,3001,335.323197
2840.417168,1039,340.560852
562.96052,207,341.375529
4306.570514,1642,347.803753
3683.800947,845,351.218563
5296.1645,1313,356.494878
3246.745723,901,359.827121
4008.370188,950,363.397687
4438.929148,813,367.705852
4419.649015,1830,376.529556
341.728532,334,377.645461
586.205932,317,378.828061
4979.916704,1564,384.67395
453.303853,219,385.564391
2035.652161,1504,391.517449
1862.694539,741,395.020427
7094.309977,1315,400.555638
1598.904459,521,402.410512
5264.693272,1986,410.461247
4166.455762,1560,416.494915
1050.65724,685,419.027909
4572.190277,1437,424.867273
2875.235754,810,428.938916
504.188422,567,431.179394
3520.188353,1358,435.845911
3672.410898,851,439.331534
5326.149286,2155,446.896472
5687.906273,1061,451.470727
1469.554345,468,454.372406
1146.096385,691,457.196427
1231.929042,470,459.084704
2632.353462,620,461.696027
