#{"t_start": 1754520773.8008003, "env_id": "None"}
r,l,t
877.008165,472,5.638437
760.503539,426,7.859436
538.769191,1306,15.175925
362.492844,507,17.730965
-585.169547,739,21.518361
1459.744338,374,23.381715
940.563789,294,25.320681
1736.110462,455,27.594681
1675.50922,720,31.202721
389.13598,302,32.800879
1008.031939,327,34.487545
164.808796,814,39.322706
1150.753957,533,42.618407
1024.541501,249,44.110316
339.194495,521,46.685667
1420.028473,339,48.546902
379.396692,309,50.021981
156.51552,341,51.650111
-2179.551009,989,56.239606
419.50892,478,58.394496
657.395467,327,59.902946
150.392994,270,61.113099
1380.185897,430,63.014659
174.781639,457,65.095925
645.984815,281,66.365029
748.199188,228,67.619505
368.380084,252,69.053011
128.654372,262,70.52097
201.961984,308,72.284881
455.939403,254,73.827248
465.521288,279,75.621912
264.785333,226,77.085577
323.194961,214,78.252398
569.279516,198,79.276208
668.755525,212,80.311574
237.294081,286,81.742306
897.747478,364,83.605054
266.984553,207,84.630616
530.979599,177,85.521743
538.842963,208,86.577989
750.151775,267,87.84307
335.929228,287,89.53363
512.248373,368,91.258837
615.642189,242,92.29296
793.096213,278,93.566528
1018.337163,345,95.068115
2294.483618,1006,99.549913
826.833289,292,100.882245
2014.498228,500,103.854862
426.120343,231,105.263139
827.044579,221,106.603295
415.762419,360,108.819231
735.419725,231,110.493926
2099.800343,471,112.6825
1198.011108,608,115.192263
550.306578,369,116.736004
984.64107,451,118.710133
581.729613,187,119.523909
852.26632,471,121.568194
1720.389449,768,125.085575
621.588421,193,125.920447
929.912129,795,129.516417
1820.658881,520,131.661978
913.086159,606,134.911137
112.339477,574,138.275877
779.986225,245,139.762079
-10.026425,768,144.048418
2473.02701,500,146.384936
1039.47022,573,149.053622
2876.424625,767,152.515393
1937.337043,759,155.714652
12341.58026,1936,163.836183
775.701546,236,164.943936
549.109309,185,166.031124
555.306168,858,170.804296
717.951455,250,172.046517
1128.493626,351,173.865313
6673.628959,1289,179.459977
556.855396,369,181.00335
1331.225698,379,182.532734
2170.668896,800,185.850613
1188.612018,344,187.496586
13903.171452,2311,197.183542
961.724315,390,199.486142
3925.48775,796,203.99183
7345.446033,1789,211.669105
3971.726793,893,215.270885
2124.322273,1066,219.411523
5081.484007,3600,236.2147
1407.760663,401,237.935748
941.666453,500,240.041615
4752.13616,1262,245.173214
1067.082269,244,246.106567
3663.22998,982,249.997519
13914.65498,3519,266.164831
7199.437559,1294,271.431432
844.309099,236,272.359995
931.366525,375,273.790333
3665.324528,1362,279.481032
908.159136,618,282.417972
4272.846456,2037,293.545675
17160.369213,3600,310.6241
4990.452404,1438,318.950326
7464.648765,1872,327.791411
1639.226725,536,330.354724
3796.285567,1343,336.91609
440.181716,404,338.991496
4413.426191,1056,343.212893
891.288804,924,346.983861
17529.079991,2734,357.890894
4283.12552,1279,362.636808
3643.184122,1115,368.306052
1878.017416,1579,376.030735
218.729154,445,377.516534
2776.280941,1974,384.918073
13105.486753,2389,394.940845
6348.426931,1569,401.357147
1289.112529,1033,405.720255
605.57606,325,407.05303
380.676678,338,408.356299
5773.983908,1202,412.861351
1699.352247,669,415.490957
