#{"t_start": 1754520773.6324196, "env_id": "None"}
r,l,t
501.28945,982,8.496863
825.72286,217,9.632396
991.236696,443,12.179964
1055.291979,468,14.856042
740.716242,379,16.811359
961.34959,413,18.871013
278.55809,430,21.080452
671.876356,261,22.44899
1460.031997,513,25.413996
1238.153211,488,27.868046
665.62403,269,29.164473
40.113147,571,32.092154
391.523355,453,34.465426
484.869763,596,37.881807
354.825339,615,41.76467
832.250799,375,44.012733
410.723661,447,46.311459
1056.888468,508,48.956469
676.695137,242,50.102404
717.333857,272,51.434099
653.903594,215,52.458401
366.770275,281,53.68826
313.201977,365,55.364478
1028.234954,617,58.25392
175.265079,270,59.48597
504.322717,428,61.386848
1515.589624,323,62.849976
432.943039,324,64.261783
1632.806655,757,68.002772
301.432252,246,69.382931
538.814488,318,71.189669
649.5317,189,72.247106
380.874884,325,74.230043
793.13037,439,77.009897
544.889234,215,78.267782
-81.544282,469,80.662375
200.450552,281,82.102556
504.688326,260,83.371572
517.102924,271,84.723201
545.307532,211,85.816057
578.395733,322,87.350743
776.777278,299,88.83922
691.758385,201,90.074526
780.55984,256,91.295756
47.174294,723,94.489453
1209.812285,278,95.668201
519.536616,169,96.420988
670.725078,250,97.57931
808.552483,226,98.527064
1509.937096,409,100.462963
1000.198555,359,102.275287
1088.743314,286,104.059613
650.628071,189,105.193678
743.460578,290,106.970363
1099.504658,272,108.635606
736.095297,358,111.068698
459.589693,271,112.305847
1054.360282,290,113.522242
654.908811,219,114.404552
526.251183,225,115.337398
632.183947,202,116.202569
501.584837,288,117.386431
528.838482,180,118.189922
393.022797,233,119.257765
854.830287,253,120.355312
1086.607861,331,121.771224
224.820121,295,123.138708
725.324783,231,124.245956
879.213516,251,125.329407
2538.321108,679,128.438466
937.982922,294,129.666017
2079.005989,774,132.935289
664.577466,252,134.435943
5596.206774,949,140.097237
752.065662,207,141.387462
769.201594,245,142.812219
2420.321766,550,145.42051
1314.584386,359,147.153929
1371.179023,513,149.750304
2441.061099,901,153.416738
797.108425,800,156.872493
3104.031081,763,160.130081
1718.426797,546,162.412251
684.274453,209,163.260898
-174.929259,870,168.058356
903.663426,295,169.459163
714.933131,240,170.673374
1919.110302,1129,176.045848
4281.450368,1341,181.806998
1168.04387,1157,186.822606
2195.909707,1071,190.875322
1980.935483,1313,196.56787
657.012057,238,197.927978
1922.015789,880,202.993499
5772.274371,1900,211.439674
2184.700144,2561,221.462165
908.965704,225,222.564447
860.897478,226,223.367408
4623.095507,1307,229.818467
1773.642437,479,232.499095
1681.45264,601,235.31604
1910.271392,1060,239.810261
13273.746225,2570,250.106251
28916.359307,3600,266.629573
924.686726,234,267.612337
2179.584404,1459,273.417615
1138.491251,357,274.713202
865.056546,229,275.63921
2228.329475,958,279.825883
5974.737656,1156,285.919665
2310.390759,1097,291.990849
7240.807155,2489,303.815819
11269.438891,3591,322.400424
3179.372359,1023,327.171418
3133.579315,1297,333.353596
7479.330283,1580,341.120026
6498.328109,2107,349.444949
15804.81239,2801,360.359344
19321.067958,2457,372.478356
14233.229092,3011,383.827811
3325.839358,1253,389.051778
2837.37365,677,391.530265
3143.245251,794,395.292192
6366.412659,1547,401.56288
1018.758345,367,402.970278
812.154864,269,404.057031
4608.798595,1625,410.633703
797.31799,266,411.631764
2015.670402,1245,416.47898
9788.005453,1650,422.757895
4367.893818,888,426.958001
728.521022,304,428.526701
1113.367396,483,430.52726
24487.832696,2421,439.427638
2609.981391,3600,453.746163
9236.82074,1482,460.222738
2168.950134,1358,465.648882
1994.804849,607,468.008659
2842.514466,670,470.566651
2500.809731,694,473.418386
3926.311501,742,476.629323
1017.984132,231,477.97221
1295.00923,403,480.200223
14785.117767,2429,491.677353
2545.830126,1956,499.309106
4429.556276,1141,503.659205
4195.709815,1105,508.115919
8662.124645,1895,515.666488
18254.642993,3581,529.152545
3855.66033,1017,532.766404
979.723617,720,535.876978
3032.75803,1372,542.469018
5038.485444,1850,549.825926
3494.685329,1084,554.043116
1441.992601,404,555.774343
7349.16421,1588,561.687183
914.085967,350,563.025413
4404.762935,1796,570.919089
834.122756,396,572.731317
1775.431641,720,575.48175
3703.417023,1077,579.67741
6140.410702,1454,586.466929
2874.085211,746,590.305318
1126.940472,388,592.0696
18094.204569,3034,605.415426
1813.249311,1145,611.721625
10321.03041,2269,621.826149
3866.847041,2151,631.466793
1979.378259,720,634.709203
8305.603959,1576,641.925201
1944.276575,711,645.062386
8351.386754,2508,656.262182
6724.504302,1812,664.22705
572.504188,758,667.857266
1842.324379,383,669.527957
1299.499986,411,671.354666
3130.888452,828,674.984586
1923.039239,867,678.748389
3554.200135,866,682.658307
